time,Phi,dPhi_dt,Energy,Fragmentation,Ricci,Betti1,PermEntropy
0.0,0.938,-1.245,2.399,2.5,-2.921,6.0,0.62
2.0,0.833,-2.093,6.509,5.35,-2.965,9.0,0.64
4.0,0.738,-1.899,7.389,7.7,-2.578,11.0,0.64
6.0,0.662,-1.532,6.617,5.4,-2.981,9.0,0.62
8.0,0.592,-1.384,7.389,6.21,-0.178,7.0,0.62
10.0,0.534,-1.177,7.389,8.28,-3.149,12.0,0.61
12.0,0.483,-1.001,7.389,14.22,0.827,14.0,0.62
14.0,0.441,-0.85,7.389,8.25,-1.077,10.0,0.64
16.0,0.405,-0.723,7.389,9.17,-1.104,11.0,0.65
18.0,0.374,-0.614,7.389,10.01,-4.138,15.0,0.67
20.0,0.348,-0.522,7.389,8.61,-1.578,11.0,0.66
22.0,0.326,-0.443,7.389,5.18,-0.176,6.0,0.63
24.0,0.307,-0.377,7.389,9.76,-1.816,12.0,0.58
26.0,0.291,-0.321,7.389,13.63,-0.899,15.0,0.59
28.0,0.277,-0.273,7.389,7.28,-1.178,9.0,0.61
30.0,0.266,-0.232,7.389,6.0,-0.273,7.0,0.65
32.0,0.258,-0.145,6.118,3.9,-3.449,8.0,0.63
34.0,0.25,-0.175,7.389,8.15,-3.354,12.0,0.6
36.0,0.243,-0.142,7.225,4.58,-4.001,9.0,0.58
38.0,0.236,-0.128,7.389,11.83,0.242,12.0,0.58
40.0,0.231,-0.109,7.389,15.24,-0.305,16.0,0.59
42.0,0.226,-0.092,7.389,10.72,-1.485,13.0,0.66
44.0,0.222,-0.078,7.389,11.16,-0.893,13.0,0.69
46.0,0.219,-0.067,7.389,15.02,1.001,15.0,0.7
48.0,0.216,-0.057,7.389,12.19,0.058,13.0,0.67
50.0,0.214,-0.048,7.389,6.3,-1.916,9.0,0.66
52.0,0.221,0.139,3.27,2.58,-4.741,8.0,0.64
54.0,0.22,-0.016,6.015,4.75,-2.701,8.0,0.61
56.0,0.237,0.339,1.377,0.7,-3.783,5.0,0.6
58.0,0.231,-0.11,7.389,5.47,-3.058,9.0,0.59
60.0,0.227,-0.094,7.389,6.61,-0.73,8.0,0.63
62.0,0.223,-0.08,7.389,6.55,-0.657,8.0,0.66
64.0,0.223,0.0,5.464,4.66,-0.527,6.0,0.66
