t,mode,stimulus,sync,meanB,damage,phi,q_obs,pred1_code,pred1_p,pred2_code,pred2_p,pred3_code,pred3_p,guards_fired
16.714682,bio,0.000000,0.002509,0.968236,0.000000,0.002509,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,
16.776392,bio,0.000000,0.004212,1.035001,0.000000,0.004212,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,
16.901155,bio,0.000000,0.005301,1.100270,0.000000,0.005301,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,
16.963551,bio,0.000000,0.005390,1.164069,0.000000,0.005390,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,
17.059697,bio,0.000000,0.006620,1.226418,0.000000,0.006620,0.000000,E4,0.999997,E5,0.000001,E1,0.000001,
17.173796,bio,0.000000,0.005911,1.287343,0.000000,0.005911,0.000000,E4,0.999992,E5,0.000004,E1,0.000002,
17.235907,bio,0.000000,0.006475,1.346865,0.000000,0.006475,0.000000,E4,0.999993,E5,0.000005,E1,0.000002,E5
17.336110,bio,0.000000,0.007307,1.405007,0.000000,0.007307,0.000000,E4,0.999990,E5,0.000007,E1,0.000002,E5
17.398183,bio,0.000000,0.007433,1.461787,0.000000,0.007433,0.000000,E4,0.999989,E5,0.000008,E1,0.000002,E5
17.493164,bio,0.000000,0.007255,1.517220,0.000000,0.007255,0.000000,E4,0.999985,E5,0.000012,E1,0.000002,E5
17.587254,bio,0.000000,0.009120,1.571315,0.000000,0.009120,0.000000,E4,0.999979,E5,0.000017,E1,0.000002,E5
17.647340,bio,0.000000,0.008811,1.624077,0.000000,0.008811,0.000000,E4,0.999971,E5,0.000026,E1,0.000002,E5
17.745011,bio,0.000000,0.009159,1.675497,0.000000,0.009159,0.000000,E4,0.999956,E5,0.000040,E1,0.000003,E5
17.833376,bio,0.000000,0.009302,1.725553,0.000000,0.009302,0.000000,E4,0.999930,E5,0.000065,E1,0.000003,E5
17.933289,bio,0.000000,0.009325,1.774200,0.000000,0.009325,0.000000,E4,0.999883,E5,0.000111,E1,0.000004,E5
18.021100,bio,0.000000,0.008886,1.821363,0.000000,0.008886,0.000000,E4,0.999803,E5,0.000190,E1,0.000005,E5
18.099828,bio,0.000000,0.008361,1.866922,0.000000,0.008361,0.000000,E4,0.999683,E5,0.000309,E1,0.000006,E5
18.175088,bio,0.000000,0.008557,1.910689,0.000000,0.008557,0.000000,E4,0.999507,E5,0.000483,E1,0.000006,E5
18.244993,bio,0.000000,0.008654,1.952382,0.000000,0.008654,0.000000,E4,0.999249,E5,0.000741,E1,0.000007,E5
18.333030,bio,0.000000,0.008700,1.991586,0.000000,0.008700,0.000000,E4,0.998821,E5,0.001168,E1,0.000008,E5
18.431375,bio,0.000000,0.008668,2.027701,0.000000,0.008668,0.000000,E4,0.998071,E5,0.001916,E1,0.000009,E5
18.508723,bio,0.000000,0.009232,2.059885,0.000000,0.009232,0.000000,E4,0.996913,E5,0.003072,E1,0.000010,E5
18.580425,bio,0.000000,0.009423,2.087016,0.000000,0.009423,0.000000,E4,0.995091,E5,0.004890,E1,0.000012,E5
18.680639,bio,0.000000,0.009519,2.107672,0.000000,0.009519,0.000000,E4,0.991949,E5,0.008028,E1,0.000016,E5
18.774869,bio,0.000000,0.009397,2.120197,0.000000,0.009397,0.000000,E4,0.986678,E5,0.013291,E1,0.000020,E5
18.839220,bio,0.000000,0.009611,2.122878,0.000000,0.009611,0.000000,E4,0.979010,E5,0.020950,E1,0.000027,E5
18.932896,bio,0.000000,0.009735,2.114241,0.000000,0.009735,0.000000,E4,0.966848,E5,0.033097,E1,0.000037,E5
19.024997,bio,0.000000,0.009883,2.093405,0.000000,0.009883,0.000000,E4,0.948150,E5,0.051770,E1,0.000054,E5
19.088260,bio,0.000000,0.010008,2.060375,0.000000,0.010008,0.000000,E4,0.922434,E5,0.077447,E1,0.000080,E5
19.181087,bio,0.000000,0.010195,2.016186,0.000000,0.010195,0.000000,E4,0.885095,E5,0.114720,E1,0.000125,E5
19.274807,bio,0.000000,0.010537,1.962768,0.000000,0.010537,0.000000,E4,0.832247,E5,0.167455,E1,0.000201,E5
19.368161,bio,0.000000,0.010604,1.902672,0.000000,0.010604,0.000000,E4,0.758646,E5,0.240864,E1,0.000330,E5
19.431917,bio,0.000000,0.010514,1.838647,0.000000,0.010514,0.000000,E4,0.668526,E5,0.330692,E1,0.000528,E5
19.528953,bio,0.000000,0.010654,1.773308,0.000000,0.010654,0.000000,E4,0.559412,E5,0.439368,E1,0.000824,E5
19.615947,bio,0.000000,0.010690,1.708879,0.000000,0.010690,0.000000,E5,0.557898,E4,0.440299,E1,0.001219,E5
19.678445,bio,0.000000,0.010713,1.647069,0.000000,0.010713,0.000000,E5,0.668916,E4,0.328604,E1,0.001678,E5
19.771654,bio,0.000000,0.010715,1.589075,0.000000,0.010715,0.000000,E5,0.766672,E4,0.230137,E1,0.002159,E5
19.860800,bio,0.000000,0.010688,1.535660,0.000000,0.010688,0.000000,E5,0.843009,E4,0.153145,E1,0.002601,E5
19.939156,bio,0.000000,0.010743,1.487212,0.000000,0.010743,0.000000,E5,0.896706,E4,0.098909,E1,0.002957,E5
20.019046,bio,0.000000,0.010777,1.443842,0.000000,0.010777,0.000000,E5,0.932450,E4,0.062751,E1,0.003209,E5
20.112136,bio,0.000000,0.010833,1.405474,0.000000,0.010833,0.000000,E5,0.955447,E4,0.039408,E1,0.003358,E5
20.206158,bio,0.000000,0.010898,1.371892,0.000000,0.010898,0.000000,E5,0.969659,E4,0.024768,E1,0.003417,E5
20.298132,bio,0.000000,0.010917,1.342803,0.000000,0.010917,0.000000,E5,0.977883,E4,0.015718,E1,0.003402,E5
20.393059,bio,0.000000,0.010967,1.317859,0.000000,0.010967,0.000000,E5,0.981614,E4,0.010134,E2,0.003339,E5
20.458108,bio,0.000000,0.011004,1.296697,0.000000,0.011004,0.000000,E5,0.981144,E2,0.007399,E4,0.006707,E5
20.548945,bio,0.000000,0.011036,1.278946,0.000000,0.011036,0.000000,E5,0.975629,E2,0.015301,E4,0.004526,E5
20.642286,bio,0.000000,0.011065,1.264242,0.000000,0.011065,0.000000,E5,0.963055,E2,0.029532,E4,0.003112,E5
20.743430,bio,0.000000,0.011111,1.252243,0.000000,0.011111,0.000000,E5,0.940559,E2,0.053245,E1,0.002731,E5
20.833060,bio,0.000000,0.011155,1.242622,0.000000,0.011155,0.000000,E5,0.905569,E2,0.089179,E1,0.002521,E5
20.933201,bio,0.000000,0.011191,1.235077,0.000000,0.011191,0.000000,E5,0.856473,E2,0.139054,E1,0.002290,E5
21.072093,bio,0.000000,0.011245,1.229331,0.000000,0.011245,0.000000,E5,0.793101,E2,0.203103,E1,0.002043,E5
21.186990,bio,0.000000,0.011293,1.225126,0.000000,0.011293,0.000000,E5,0.719869,E2,0.276923,E1,0.001793,E5
21.309996,bio,0.000000,0.011311,1.222234,0.000000,0.011311,0.000000,E5,0.642555,E2,0.354744,E1,0.001553,E5
21.447536,bio,0.000000,0.011352,1.220440,0.000000,0.011352,0.000000,E5,0.566879,E2,0.430850,E1,0.001336,E5
21.555898,bio,0.000000,0.011406,1.219551,0.000000,0.011406,0.000000,E2,0.499929,E5,0.498148,E1,0.001151,E5
21.647171,bio,0.000000,0.011449,1.219396,0.000000,0.011449,0.000000,E2,0.559481,E5,0.438874,E1,0.000998,E5
21.767657,bio,0.000000,0.011504,1.219828,0.000000,0.011504,0.000000,E2,0.609460,E5,0.389113,E1,0.000875,E5
21.869379,bio,0.000000,0.011564,1.220715,0.000000,0.011564,0.000000,E2,0.650288,E5,0.348454,E1,0.000778,E5
21.962331,bio,0.000000,0.011619,1.221934,0.000000,0.011619,0.000000,E2,0.683125,E5,0.315746,E1,0.000703,E5
22.049318,bio,0.000000,0.011668,1.223390,0.000000,0.011668,0.000000,E2,0.709306,E5,0.289663,E1,0.000645,E5
