t,mode,stimulus,sync,meanB,damage,phi,q_obs,q_status,hcr_L2R,hcr_R2L,q_res,dilatacion,energia,lyapunov,stochastic_noise,topological_collapse,causal_failure,clinical_phase,pred1_code,pred1_p,pred2_code,pred2_p,pred3_code,pred3_p,guards_fired,ai_action,ai_reward
34.487217,bio,0.000000,0.002518,0.968237,0.000000,0.002518,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.318885,7.000000,0.937810,0.000000,1.318885,0.320000,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E1,0.200000,E2,0.200000,E3,0.200000,,0,-1.00
34.862911,bio,0.000000,0.004225,1.035001,0.000000,0.004225,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.318885,7.000000,1.071500,0.000000,1.318885,0.320000,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E1,0.200000,E2,0.200000,E3,0.200000,,1,-1.00
35.424868,bio,0.094146,0.005320,1.100270,0.000000,0.005320,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.318885,7.000000,1.219686,-0.022657,1.318885,0.332051,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E1,0.200000,E2,0.200000,E3,0.200000,,2,-1.00
35.894961,bio,0.384887,0.005414,1.164059,0.000000,0.005414,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.777165,7.000000,1.503361,-0.022949,1.777165,0.383172,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E1,0.200000,E2,0.200000,E3,0.200000,,3,-1.00
36.402169,bio,0.209411,0.006658,1.226378,0.005417,0.006658,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.777165,8.800000,1.548017,-0.023289,1.777165,0.469434,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E4,0.725001,E5,0.134240,E1,0.071501,E6,3,499.00
36.872672,bio,0.119068,0.006002,1.287242,0.012333,0.006002,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.777165,10.960000,1.671306,-0.023639,1.777165,0.558379,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E4,0.662408,E5,0.180844,E3,0.084621,E6,0,499.00
37.323644,bio,0.069306,0.006612,1.346659,0.010333,0.006612,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.777165,10.960000,1.818410,-0.024059,1.777165,0.550440,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E4,0.632054,E5,0.219149,E3,0.079638,E5|E6,0,499.00
37.755909,bio,0.041257,0.007637,1.404630,0.008333,0.007637,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.777165,10.960000,1.974788,-0.024642,1.777165,0.537818,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E4,0.596364,E5,0.268083,E3,0.069102,E5|E6,3,499.00
38.197814,bio,0.024277,0.007453,1.461141,0.017050,0.007453,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.944765,13.552000,2.135610,-0.025503,0.944765,0.629398,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E4,0.528407,E5,0.339668,E3,0.068741,E5|E6,0,499.00
38.635470,bio,0.014358,0.007814,1.516157,0.015050,0.007814,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.944765,13.552000,2.299018,-0.026808,0.944765,0.612034,0.000000,STATE: ISOSTASIS (STABLE GEOMETRY),E4,0.471365,E5,0.410386,E3,0.060156,E5|E6,0,499.00
